id,user_id,customer_id,created_at,canceled_at,updated_at,status
2,0,cus_NfIx6W5Pl9zCBt,2023-04-06 19:22:22,1680808940.0,2023-04-08 18:35:33,canceled
3,0,cus_NfLSSIm6qm4INs,2023-04-06 21:57:16,,,active
4,0,cus_NfayqES4n14hQa,2023-04-07 13:58:49,1680875926.0,2023-04-07 14:00:28,canceled
8,0,cus_NfyOjEavs2Wz9j,2023-04-08 14:14:13,,,active
9,0,cus_NfyYUiSVyg0HBc,2023-04-08 14:19:32,,,active
13,0,cus_NgjMrUasfRjpSM,2023-04-10 14:42:11,1706197520.0,2024-01-25 15:45:24,canceled
14,0,cus_NgpZaAikLpEeT8,2023-04-10 21:27:02,1681162020.0,2023-04-10 22:01:22,canceled
15,0,cus_NguRxXFiOeTgVI,2023-04-11 02:08:57,,,incomplete
16,0,cus_NhAxAXOGzicbMe,2023-04-11 19:13:26,1681240401.0,2023-04-11 19:14:24,canceled
17,0,cus_NhEOSXbkEz9C8x,2023-04-11 22:45:03,1681253100.0,2023-04-13 01:10:26,canceled
18,0,cus_NhHkYBlyFMc7G8,2023-04-12 02:15:42,1681265740.0,2023-04-12 02:33:19,canceled
19,0,cus_NhaUIlMjLriwfM,2023-04-12 21:35:32,1681335362.0,2023-04-12 21:36:02,canceled
20,0,cus_Nhe3B301R7pwlJ,2023-04-13 01:16:39,1690511904.0,2023-07-28 02:38:27,canceled
21,0,cus_NhlJI7MiM6muhJ,2023-04-13 08:45:53,1701164929.0,2023-11-28 09:48:52,canceled
22,0,cus_NheULwhcDNih69,2023-04-13 14:06:17,,,incomplete
23,0,cus_NhtY59Fj78uc7V,2023-04-13 17:21:39,1681407349.0,2023-04-13 17:35:49,canceled
24,0,cus_NhtnrgtVGfHb2f,2023-04-13 17:32:36,1681407758.0,2023-04-13 17:42:38,canceled
25,0,cus_Ni4GzIsAsVBsOw,2023-04-14 04:23:03,,2024-10-14 04:23:07,active
26,0,cus_Ni6eI1a88tklb0,2023-04-14 06:50:39,1685346955.0,2023-05-29 07:55:59,canceled
27,0,cus_NiCbRV9Sa9gqEO,2023-04-14 12:59:43,,,incomplete
28,0,cus_NiCmkXa0R9uWpd,2023-04-14 13:10:56,,,incomplete
29,0,cus_NiEU5oHSkyLP2k,2023-04-14 14:55:19,1684654198.0,2023-06-14 14:55:19,canceled
30,0,cus_NiOihboIJ2mSEa,2023-04-15 01:32:37,,,incomplete
31,0,cus_Nin64WRSF1qUK4,2023-04-16 02:42:15,,,incomplete
32,0,cus_Nj2jrl3mt79YpA,2023-04-16 18:55:22,1681671798.0,2023-04-16 19:03:18,canceled
33,0,cus_Nj5qCLmk4fjApV,2023-04-16 22:07:17,1681699485.0,2023-04-17 02:44:45,canceled
34,0,cus_Nj60EJOTReQT6p,2023-04-16 22:13:42,1701473003.0,2023-12-01 23:23:26,canceled
35,0,cus_Nj6Hzcae4d2p5C,2023-04-16 22:31:34,1690846982.0,2023-07-31 23:43:06,canceled
36,0,cus_Nj6La307JKP1mS,2023-04-16 22:38:43,1681696838.0,2023-04-17 02:00:38,canceled
37,0,cus_Nj6V13xjYAzy4p,2023-04-16 22:45:37,1696204435.0,2023-10-01 23:53:58,canceled
38,0,cus_Nj6fPe5lxltspA,2023-04-16 22:54:36,1696205508.0,2023-10-02 00:11:51,canceled
39,0,cus_Nj6ydO3j4KwqXf,2023-04-16 23:13:25,1681686954.0,2023-04-16 23:15:54,canceled
40,0,cus_Nj739vBnRd0RCk,2023-04-16 23:21:07,1681690537.0,2023-04-17 00:15:37,canceled
41,0,cus_Nj7HAd6OMmabM4,2023-04-16 23:33:01,1681688221.0,2023-04-16 23:37:01,canceled
42,0,cus_Nj7KsvxEu3JSzQ,2023-04-16 23:35:45,1694293288.0,2023-09-18 20:53:20,canceled
43,0,cus_Nj7NACCjrgcWNl,2023-04-16 23:38:19,1685580351.0,2023-06-01 00:45:53,canceled
44,0,cus_Nj7PGDuk3QUDvu,2023-04-16 23:40:16,1681750500.0,2023-04-17 16:55:00,canceled
45,0,cus_Nj7aAaJb4XpRrt,2023-04-16 23:51:39,1701478762.0,2023-12-02 00:59:25,canceled
46,0,cus_Nj7cwt22GhaY5P,2023-04-16 23:52:50,1696208421.0,2023-10-02 01:00:24,canceled
47,0,cus_Nj7cG614AA2sBU,2023-04-16 23:53:45,1718086548.0,2024-06-16 23:53:57,canceled
48,0,cus_Nj7IGJqCxsxrHq,2023-04-16 23:54:14,,2024-10-16 23:54:30,active
49,0,cus_Nj7YghcQDf1cS2,2023-04-16 23:55:19,,,incomplete
